key1,key2,key3,value
LINE-319-320#0,LINE-125-114,LINE-125-114,0
LINE-226-209,LINE-314-316,LINE-314-316,0
LINE-320-323,LINE-115-121#0,LINE-115-121#0,0
LINE-117-118,LINE-115-124,LINE-115-124,-0.16185109095065084
LINE-114-116,LINE-219-220#0,LINE-219-220#0,-0.0020581254460782144
LINE-219-220,LINE-115-121,LINE-115-121,-0.00021680194100179921
LINE-313-329,LINE-330-318,LINE-330-318,-0.008756618503755385
LINE-107-108,LINE-320-323,LINE-320-323,0
LINE-212-223,LINE-127-121,LINE-127-121,-0.00012007000533062847
LINE-127-121#0,LINE-228-203,LINE-228-203,0.0011485908713020278
LINE-125-113,LINE-330-318,LINE-330-318,0
LINE-216-217,LINE-225-214,LINE-225-214,-0.0930840360854395
LINE-215-216,LINE-219-220#0,LINE-219-220#0,-0.04898739758923137
LINE-311-331,LINE-319-320,LINE-319-320,0.09946913140245127
LINE-117-118,LINE-216-219,LINE-216-219,0.0018548427989873999
LINE-116-119,LINE-116-119,LINE-116-119,6.921755047865004
LINE-108-109,LINE-312-329,LINE-312-329,0
LINE-128-203,LINE-318-333#0,LINE-318-333#0,0
LINE-316-330,LINE-216-217,LINE-216-217,0
LINE-212-223,LINE-112-113,LINE-112-113,0.00784633313522056
LINE-215-221,LINE-127-121#0,LINE-127-121#0,-0.0003009770111724235
LINE-117-118,LINE-115-121#0,LINE-115-121#0,0.370419902088929
LINE-311-327,LINE-119-120,LINE-119-120,0
LINE-127-121,LINE-312-329,LINE-312-329,0
LINE-119-120#0,LINE-213-223,LINE-213-223,0.004308762422004077
LINE-113-123,LINE-319-320,LINE-319-320,0
LINE-119-120,LINE-225-213,LINE-225-213,0.0009660175031016711
LINE-228-203,LINE-125-114,LINE-125-114,-0.00683754468335491
LINE-315-333#0,LINE-125-113,LINE-125-113,0
LINE-220-223,LINE-108-110,LINE-108-110,-0.03986967658151969
LINE-219-220,LINE-315-324,LINE-315-324,0
LINE-115-121#0,LINE-226-209,LINE-226-209,0.0018928333704211478
LINE-108-109,LINE-212-223,LINE-212-223,0.024430118370950087
LINE-228-203,LINE-103-109,LINE-103-109,0.006787887358074779
LINE-215-216,LINE-316-330,LINE-316-330,0
LINE-327-314,LINE-227-216,LINE-227-216,0
LINE-114-116,LINE-127-121#0,LINE-127-121#0,-0.005421279100564266
LINE-313-329,LINE-315-316,LINE-315-316,0.044625207472424544
LINE-215-221,LINE-330-318,LINE-330-318,0
LINE-215-224,LINE-103-109,LINE-103-109,0.022685509264154594
LINE-318-223,LINE-113-215,LINE-113-215,0
LINE-216-217,LINE-125-113,LINE-125-113,-0.045051181016071216
LINE-120-126#0,LINE-127-121,LINE-127-121,0.0031264067429171995
LINE-103-109,LINE-116-117,LINE-116-117,-0.03724024685465153
LINE-319-320#0,LINE-215-221#0,LINE-215-221#0,0
LINE-125-114,LINE-213-223,LINE-213-223,0.004186484375200889
LINE-311-327,LINE-127-121,LINE-127-121,0
LINE-312-329,LINE-227-216,LINE-227-216,0
LINE-212-223,LINE-212-223,LINE-212-223,0.7941180915120978
LINE-125-114,LINE-128-203,LINE-128-203,0.09017051585332896
LINE-115-124,LINE-112-113,LINE-112-113,-0.06152106914021749
LINE-311-327,LINE-315-316,LINE-315-316,-0.01246749050045486
LINE-227-216,LINE-219-220#0,LINE-219-220#0,-0.12311523470646964
LINE-112-113,LINE-119-120#0,LINE-119-120#0,0.005957109250507624
LINE-319-320#0,LINE-107-108,LINE-107-108,0
LINE-228-203,LINE-319-320,LINE-319-320,0
LINE-127-121,LINE-315-333,LINE-315-333,0
LINE-318-223,LINE-108-109,LINE-108-109,0
LINE-215-221#0,LINE-114-116,LINE-114-116,0.03856652866094356
LINE-225-214,LINE-215-221,LINE-215-221,0.00776732765435223
LINE-315-333#0,LINE-114-116,LINE-114-116,0
LINE-311-331,LINE-229-218,LINE-229-218,0
LINE-313-329,LINE-327-314,LINE-327-314,0.39125640595167444
LINE-316-319,LINE-120-126,LINE-120-126,0
LINE-225-213,LINE-219-220#0,LINE-219-220#0,0.09977667512736678
LINE-318-333,LINE-320-323#0,LINE-320-323#0,0.002736540127541263
LINE-215-216,LINE-108-109,LINE-108-109,-0.046015760577655815
LINE-330-318,LINE-112-123,LINE-112-123,0
LINE-113-123,LINE-315-333,LINE-315-333,0
LINE-215-221#0,LINE-226-209,LINE-226-209,0.035456205136688235
LINE-116-117,LINE-112-113,LINE-112-113,-0.011511279896048781
LINE-215-224,LINE-311-331,LINE-311-331,0
LINE-319-320,LINE-112-113,LINE-112-113,0
LINE-120-126,LINE-216-217,LINE-216-217,0.02879858320917572
LINE-116-117,LINE-127-121,LINE-127-121,-0.21318308514165124
LINE-213-223,LINE-315-333#0,LINE-315-333#0,0
LINE-119-120,LINE-215-221,LINE-215-221,0.010817347114852669
LINE-227-216,LINE-116-119,LINE-116-119,0.020808105953501358
LINE-115-121,LINE-117-118,LINE-117-118,0.36106498267148796
LINE-116-117,LINE-115-121,LINE-115-121,0.42823131402232284
LINE-125-113,LINE-318-333,LINE-318-333,0
LINE-220-223#0,LINE-314-316,LINE-314-316,0
LINE-113-215,LINE-127-121,LINE-127-121,-0.000557948631628242
LINE-218-221#0,LINE-125-114,LINE-125-114,-0.0333600472152654
LINE-311-327,LINE-318-333#0,LINE-318-333#0,0.0007221693955958924
LINE-225-213,LINE-112-123,LINE-112-123,0.0022442169086000744
LINE-107-108,LINE-219-220#0,LINE-219-220#0,-0.018068433620402176
LINE-120-126#0,LINE-225-213,LINE-225-213,0.000966017503103519
LINE-116-119,LINE-316-330,LINE-316-330,0
LINE-312-329,LINE-113-123,LINE-113-123,0
LINE-311-331,LINE-320-323,LINE-320-323,0.05710190953049021
LINE-229-218,LINE-125-114,LINE-125-114,-0.06672009443053883
LINE-316-330,LINE-311-331,LINE-311-331,-0.005017248275077236
LINE-127-121#0,LINE-125-113,LINE-125-113,-0.0019170492171799612
LINE-226-209,LINE-125-113,LINE-125-113,0.024844196209062197
LINE-212-223,LINE-318-333,LINE-318-333,0
LINE-319-320,LINE-115-121#0,LINE-115-121#0,0
LINE-120-126,LINE-113-215,LINE-113-215,0.07955617057622784
LINE-215-221,LINE-320-323,LINE-320-323,0
LINE-320-323,LINE-215-224,LINE-215-224,0
LINE-216-217,LINE-112-113,LINE-112-113,-0.0601856714776188
LINE-120-126,LINE-126-217,LINE-126-217,-0.12739345327859183
LINE-107-108,LINE-215-224,LINE-215-224,-0.31209564447907445
LINE-311-331,LINE-119-120#0,LINE-119-120#0,0
LINE-318-333,LINE-327-314,LINE-327-314,-0.02515766838883691
LINE-116-119,LINE-108-109,LINE-108-109,-0.09718890871739806
LINE-315-333#0,LINE-314-316,LINE-314-316,0.029084005207897345
LINE-119-120,LINE-313-329,LINE-313-329,0
LINE-315-324,LINE-112-123,LINE-112-123,0
LINE-313-329,LINE-114-116,LINE-114-116,0
LINE-311-331,LINE-313-329,LINE-313-329,-0.44968436253886157
LINE-216-219,LINE-215-224,LINE-215-224,0.3481622309779877
LINE-312-329,LINE-215-221#0,LINE-215-221#0,0
LINE-219-220,LINE-320-323#0,LINE-320-323#0,0
LINE-314-316,LINE-215-221#0,LINE-215-221#0,0
LINE-219-220,LINE-216-217,LINE-216-217,0.01960778320883391
LINE-319-320#0,LINE-115-124,LINE-115-124,0
LINE-103-109,LINE-225-214,LINE-225-214,-0.0076703894836189414
LINE-313-329,LINE-213-223,LINE-213-223,0
LINE-216-219,LINE-229-218,LINE-229-218,0.012927300753729984
LINE-316-319,LINE-316-330,LINE-316-330,0.02732767562169011
LINE-229-218,LINE-226-209,LINE-226-209,-0.06133923474590556
LINE-120-126#0,LINE-320-323,LINE-320-323,0
LINE-112-113,LINE-112-113,LINE-112-113,1.4005858299292728
LINE-327-314,LINE-218-221,LINE-218-221,0
LINE-128-203,LINE-319-320,LINE-319-320,0
LINE-226-209,LINE-316-330,LINE-316-330,0
LINE-319-320#0,LINE-103-109,LINE-103-109,0
LINE-216-219,LINE-114-116,LINE-114-116,-0.010816182870486682
LINE-228-203,LINE-316-319,LINE-316-319,0
LINE-107-108,LINE-315-316,LINE-315-316,0
LINE-115-116,LINE-315-333,LINE-315-333,0
LINE-125-113,LINE-119-120,LINE-119-120,0.10296855875187251
LINE-313-329,LINE-315-333,LINE-315-333,0.005192468702904081
LINE-218-221,LINE-103-109,LINE-103-109,0.012950614650085374
LINE-116-119,LINE-216-217,LINE-216-217,0.057597166418352795
LINE-311-327,LINE-219-220#0,LINE-219-220#0,0
LINE-113-215,LINE-107-108,LINE-107-108,-0.5643955855082735
LINE-320-323#0,LINE-215-221,LINE-215-221,0
LINE-320-323#0,LINE-316-319,LINE-316-319,-0.5000000000000301
LINE-315-333#0,LINE-213-223,LINE-213-223,0
LINE-219-220#0,LINE-112-123,LINE-112-123,-0.00905095656144692
LINE-212-223,LINE-103-109,LINE-103-109,-0.005972764788118609
LINE-315-316,LINE-315-324,LINE-315-324,0.8128886724164852
LINE-327-314,LINE-127-121,LINE-127-121,0
LINE-115-121,LINE-120-126#0,LINE-120-126#0,-0.0033836109674199133
LINE-107-108,LINE-215-221#0,LINE-215-221#0,0.010129972216396315
LINE-103-109,LINE-114-116,LINE-114-116,-0.19552699275856636
LINE-220-223,LINE-113-123,LINE-113-123,-0.0040242885655594465
LINE-117-118,LINE-112-113,LINE-112-113,-0.009957252148796178
LINE-314-316,LINE-213-223,LINE-213-223,0
LINE-330-318,LINE-318-333,LINE-318-333,-0.2951918073943205
LINE-117-118,LINE-315-324,LINE-315-324,0
LINE-113-215,LINE-228-203,LINE-228-203,-0.05033896183573749
LINE-314-316,LINE-120-126,LINE-120-126,0
LINE-119-120#0,LINE-319-320,LINE-319-320,0
LINE-314-316,LINE-218-221#0,LINE-218-221#0,0
LINE-320-323,LINE-113-215,LINE-113-215,0
LINE-115-124,LINE-311-327,LINE-311-327,0
LINE-316-330,LINE-218-221#0,LINE-218-221#0,0
LINE-219-220#0,LINE-330-318,LINE-330-318,0
LINE-119-120,LINE-327-314,LINE-327-314,0
LINE-312-329,LINE-311-331,LINE-311-331,-0.005626461220019244
LINE-126-217,LINE-127-121,LINE-127-121,0.001440488533539955
LINE-115-124,LINE-312-329,LINE-312-329,0
LINE-311-327,LINE-315-324,LINE-315-324,0.0627471198149922
LINE-220-223,LINE-219-220#0,LINE-219-220#0,-0.09504003855418779
LINE-220-223,LINE-103-109,LINE-103-109,0.00536881434145265
LINE-116-117,LINE-225-213,LINE-225-213,-0.0001858822435864932
LINE-125-113,LINE-327-314,LINE-327-314,0
LINE-327-314,LINE-229-218,LINE-229-218,0
LINE-113-123,LINE-327-314,LINE-327-314,0
LINE-215-216,LINE-216-217,LINE-216-217,-0.9225172733268984
LINE-116-119,LINE-116-117,LINE-116-117,0.029330720475569082
LINE-125-113,LINE-319-320#0,LINE-319-320#0,0
LINE-212-223,LINE-314-316,LINE-314-316,0
LINE-315-333#0,LINE-115-121,LINE-115-121,0
LINE-320-323,LINE-108-110,LINE-108-110,0
LINE-220-223#0,LINE-108-110,LINE-108-110,-0.03986967658151969
LINE-219-220,LINE-313-329,LINE-313-329,0
LINE-315-333#0,LINE-220-223#0,LINE-220-223#0,0
LINE-316-330,LINE-215-221,LINE-215-221,0
LINE-115-121,LINE-213-223,LINE-213-223,0.000414548607758128
LINE-312-329,LINE-314-316,LINE-314-316,0.29786979045302525
LINE-225-213,LINE-311-327,LINE-311-327,0
LINE-126-217,LINE-108-110,LINE-108-110,-0.14859744039208664
LINE-228-203,LINE-315-324,LINE-315-324,0
LINE-112-113,LINE-107-108,LINE-107-108,-0.2845757178132973
LINE-318-333,LINE-319-320,LINE-319-320,0.004766938124857372
LINE-215-221,LINE-219-220,LINE-219-220,-0.00381748462407749
LINE-318-333#0,LINE-315-333#0,LINE-315-333#0,0.1851891017506539
LINE-320-323#0,LINE-107-108,LINE-107-108,0
LINE-225-214,LINE-319-320#0,LINE-319-320#0,0
LINE-127-121#0,LINE-311-327,LINE-311-327,0
LINE-215-221,LINE-311-331,LINE-311-331,0
LINE-220-223,LINE-215-221#0,LINE-215-221#0,-0.003979915841279264
LINE-108-109,LINE-103-109,LINE-103-109,0.1212894273125619
LINE-215-221,LINE-125-114,LINE-125-114,0.03856652866094133
LINE-108-109,LINE-320-323,LINE-320-323,0
LINE-315-316,LINE-312-329,LINE-312-329,0.1285784768184562
LINE-108-110,LINE-316-319,LINE-316-319,0
LINE-113-215,LINE-226-209,LINE-226-209,0.07175741218710247
LINE-311-331,LINE-312-329,LINE-312-329,-0.007397424902300767
LINE-225-214,LINE-220-223,LINE-220-223,-0.07073873223984331
LINE-215-224,LINE-218-221,LINE-218-221,-0.013020446823122464
LINE-319-320#0,LINE-216-217,LINE-216-217,0
LINE-127-121,LINE-226-209,LINE-226-209,-0.0016373000498326113
LINE-225-213,LINE-315-324,LINE-315-324,0
LINE-119-120,LINE-319-320,LINE-319-320,0
LINE-312-329,LINE-115-121,LINE-115-121,0
LINE-115-121#0,LINE-315-333#0,LINE-315-333#0,0
LINE-318-223,LINE-220-223,LINE-220-223,0
LINE-119-120,LINE-219-220#0,LINE-219-220#0,-0.00211823876881221
LINE-220-223,LINE-229-218,LINE-229-218,0.006463650376849259
LINE-128-203,LINE-126-217,LINE-126-217,0.18718508444519236
LINE-119-120#0,LINE-112-113,LINE-112-113,0.00952218800612737
LINE-116-117,LINE-318-333,LINE-318-333,0
LINE-219-220,LINE-318-333,LINE-318-333,0
LINE-215-216,LINE-128-203,LINE-128-203,0.1354483814217899
LINE-311-327,LINE-220-223,LINE-220-223,0
LINE-112-123,LINE-316-319,LINE-316-319,0
LINE-126-217,LINE-318-333#0,LINE-318-333#0,0
LINE-115-124,LINE-212-223,LINE-212-223,-0.005825437432208291
LINE-327-314,LINE-219-220#0,LINE-219-220#0,0
LINE-227-216,LINE-218-221#0,LINE-218-221#0,-0.003911264344761391
LINE-315-333,LINE-115-121,LINE-115-121,0
LINE-215-221#0,LINE-212-223,LINE-212-223,0.010208871845828289
LINE-115-116,LINE-316-330,LINE-316-330,0
LINE-316-319,LINE-115-124,LINE-115-124,0
LINE-320-323,LINE-115-116,LINE-115-116,0
LINE-127-121,LINE-216-219,LINE-216-219,0.0009274214003908911
LINE-330-318,LINE-319-320#0,LINE-319-320#0,0.009533876164403222
LINE-314-316,LINE-215-224,LINE-215-224,0
LINE-213-223,LINE-314-316,LINE-314-316,0
LINE-315-316,LINE-114-116,LINE-114-116,0
LINE-103-109,LINE-229-218,LINE-229-218,0.006994660333122392
LINE-120-126#0,LINE-108-110,LINE-108-110,-0.02280357148836169
LINE-116-117,LINE-316-319,LINE-316-319,0
LINE-311-331,LINE-225-214,LINE-225-214,0
LINE-314-316,LINE-219-220#0,LINE-219-220#0,0
LINE-225-214,LINE-216-217,LINE-216-217,-0.038267160254304974
LINE-112-113,LINE-318-333#0,LINE-318-333#0,0
LINE-120-126#0,LINE-215-221,LINE-215-221,0.010817347114851985
LINE-120-126#0,LINE-119-120,LINE-119-120,-0.09891178747710098
LINE-120-126#0,LINE-227-216,LINE-227-216,0.010967866508608804
LINE-213-223,LINE-120-126,LINE-120-126,0.0010775108084761832
LINE-103-109,LINE-318-333,LINE-318-333,0
LINE-315-333#0,LINE-219-220#0,LINE-219-220#0,0
LINE-219-220,LINE-311-327,LINE-311-327,0
LINE-315-324,LINE-115-124,LINE-115-124,0
LINE-226-209,LINE-128-203,LINE-128-203,-0.3052615021769043
LINE-316-319,LINE-320-323#0,LINE-320-323#0,-0.10696289999068137
LINE-117-118,LINE-125-113,LINE-125-113,-0.003834098430635915
LINE-318-223,LINE-127-121#0,LINE-127-121#0,0
LINE-126-217,LINE-316-330,LINE-316-330,0
LINE-320-323#0,LINE-226-209,LINE-226-209,0
LINE-314-316,LINE-116-117,LINE-116-117,0
LINE-120-126#0,LINE-330-318,LINE-330-318,0
LINE-213-223,LINE-316-319,LINE-316-319,0
LINE-128-203,LINE-311-331,LINE-311-331,0
LINE-225-214,LINE-220-223#0,LINE-220-223#0,-0.07073873223984331
LINE-120-126,LINE-220-223,LINE-220-223,-0.0012170835351432735
LINE-215-221#0,LINE-215-216,LINE-215-216,0.3290697719474307
LINE-311-327,LINE-107-108,LINE-107-108,0
LINE-115-124,LINE-115-124,LINE-115-124,4.9088409868612315
LINE-329-325,LINE-108-109,LINE-108-109,0
LINE-112-123,LINE-312-329,LINE-312-329,0
LINE-320-323#0,LINE-120-126,LINE-120-126,0
LINE-318-333#0,LINE-115-121#0,LINE-115-121#0,0
LINE-329-325,LINE-120-126#0,LINE-120-126#0,0
LINE-327-314,LINE-216-217,LINE-216-217,0
LINE-318-333,LINE-127-121#0,LINE-127-121#0,0
LINE-116-119,LINE-115-121#0,LINE-115-121#0,-0.012560332980565617
LINE-216-219,LINE-215-221#0,LINE-215-221#0,-0.007959831682553056
LINE-216-217,LINE-220-223,LINE-220-223,0.010329360602601834
LINE-312-329,LINE-226-209,LINE-226-209,0
LINE-319-320,LINE-227-216,LINE-227-216,0
LINE-228-203,LINE-113-215,LINE-113-215,-0.025005026267481575
LINE-116-117,LINE-227-216,LINE-227-216,-0.002110449973349696
LINE-125-113,LINE-316-319,LINE-316-319,0
LINE-116-117,LINE-103-109,LINE-103-109,-0.10865853096434054
LINE-318-223,LINE-319-320,LINE-319-320,0
LINE-229-218,LINE-213-223,LINE-213-223,-0.013433866487957793
LINE-127-121#0,LINE-229-218,LINE-229-218,0.0008323579095786221
LINE-116-119,LINE-216-219,LINE-216-219,-0.022287856792013994
LINE-115-124,LINE-120-126,LINE-120-126,0.036166849555511624
LINE-316-319,LINE-113-123,LINE-113-123,0
LINE-215-216,LINE-320-323,LINE-320-323,0
LINE-115-121#0,LINE-327-314,LINE-327-314,0
LINE-216-217,LINE-115-124,LINE-115-124,-0.07182866713754926
LINE-228-203,LINE-128-203,LINE-128-203,0.1436183873771813
LINE-315-324,LINE-314-316,LINE-314-316,-0.31087380402295806
LINE-311-327,LINE-216-219,LINE-216-219,0
LINE-220-223#0,LINE-218-221#0,LINE-218-221#0,0.002004100202548069
LINE-316-330,LINE-225-213,LINE-225-213,0
LINE-218-221#0,LINE-212-223,LINE-212-223,-0.00883067412641039
LINE-228-203,LINE-227-216,LINE-227-216,0.11093622323966157
LINE-315-333#0,LINE-119-120#0,LINE-119-120#0,0
LINE-119-120,LINE-107-108,LINE-107-108,-0.1010775430583164
LINE-218-221,LINE-225-214,LINE-225-214,-0.01709781615730264
LINE-113-123,LINE-113-215,LINE-113-215,0.40446814796260544
LINE-311-327,LINE-218-221,LINE-218-221,0
LINE-227-216,LINE-227-216,LINE-227-216,2.2554936687899723
LINE-315-316,LINE-215-216,LINE-215-216,0
LINE-320-323,LINE-311-331,LINE-311-331,0.18261223668090484
LINE-113-215,LINE-218-221,LINE-218-221,0.0388770212704833
LINE-108-109,LINE-215-224,LINE-215-224,-0.157569182668315
LINE-120-126#0,LINE-115-116,LINE-115-116,-0.05385014170375639
LINE-216-217,LINE-216-217,LINE-216-217,2.0370123197562036
LINE-212-223,LINE-108-109,LINE-108-109,0.04502661894927732
LINE-103-109,LINE-128-203,LINE-128-203,-0.07615532473445952
LINE-311-327,LINE-126-217,LINE-126-217,0
LINE-108-109,LINE-115-121,LINE-115-121,-0.0019750949265334985
LINE-215-216,LINE-113-215,LINE-113-215,-0.46920360103809683
LINE-315-333#0,LINE-316-319,LINE-316-319,-0.02957688803410284
LINE-125-114,LINE-312-329,LINE-312-329,0
LINE-126-217,LINE-315-316,LINE-315-316,0
LINE-215-216,LINE-108-110,LINE-108-110,-0.0498017660443734
LINE-213-223,LINE-227-216,LINE-227-216,0.3735565602639008
LINE-219-220#0,LINE-119-120,LINE-119-120,-0.002109176170438099
LINE-116-119,LINE-113-215,LINE-113-215,0.15911234115245457
LINE-315-324,LINE-127-121,LINE-127-121,0
LINE-116-117,LINE-115-124,LINE-115-124,-0.18711118101656005
LINE-115-116,LINE-215-224,LINE-215-224,-0.026638151967643322
LINE-126-217,LINE-218-221,LINE-218-221,-0.043978003338237044
LINE-115-116,LINE-108-109,LINE-108-109,-0.07147122452872362
LINE-125-113,LINE-311-327,LINE-311-327,0
LINE-320-323,LINE-215-221,LINE-215-221,0
LINE-113-123,LINE-116-119,LINE-116-119,0.3941919636292296
LINE-213-223,LINE-226-209,LINE-226-209,-0.13968744677107445
LINE-313-329,LINE-227-216,LINE-227-216,0
LINE-216-217,LINE-315-333#0,LINE-315-333#0,0
LINE-213-223,LINE-220-223,LINE-220-223,0.057524322573332176
LINE-318-333#0,LINE-126-217,LINE-126-217,0
LINE-315-333#0,LINE-215-221,LINE-215-221,0
LINE-115-124,LINE-116-119,LINE-116-119,0.31761131503087275
LINE-313-329,LINE-229-218,LINE-229-218,0
LINE-227-216,LINE-226-209,LINE-226-209,-0.3071729805395598
LINE-228-203,LINE-315-316,LINE-315-316,0
LINE-320-323,LINE-119-120,LINE-119-120,0
LINE-116-117,LINE-320-323#0,LINE-320-323#0,0
LINE-120-126#0,LINE-219-220,LINE-219-220,-0.00211823876881221
LINE-318-333,LINE-127-121,LINE-127-121,0
LINE-127-121,LINE-320-323,LINE-320-323,0
LINE-215-221#0,LINE-327-314,LINE-327-314,0
LINE-215-221#0,LINE-116-119,LINE-116-119,0.05222567615813234
LINE-119-120,LINE-314-316,LINE-314-316,0
LINE-116-117,LINE-220-223,LINE-220-223,0.00023419266658419267
LINE-108-109,LINE-108-109,LINE-108-109,0.9439388803776271
LINE-119-120#0,LINE-120-126#0,LINE-120-126#0,-0.05693570701659201
LINE-213-223,LINE-318-333,LINE-318-333,0
LINE-116-117,LINE-315-324,LINE-315-324,0
LINE-128-203,LINE-320-323,LINE-320-323,0
LINE-330-318,LINE-125-113,LINE-125-113,0
LINE-115-116,LINE-315-324,LINE-315-324,0
LINE-315-333#0,LINE-116-119,LINE-116-119,0
LINE-225-214,LINE-126-217,LINE-126-217,0.05452986933489435
LINE-128-203,LINE-115-116,LINE-115-116,0.015201124766840155
LINE-212-223,LINE-220-223,LINE-220-223,0.05169062328243931
LINE-315-316,LINE-117-118,LINE-117-118,0
LINE-226-209,LINE-318-333#0,LINE-318-333#0,0
LINE-213-223,LINE-108-110,LINE-108-110,0.03538464281526753
LINE-318-333#0,LINE-315-316,LINE-315-316,-0.3465648018576513
LINE-318-333,LINE-318-333#0,LINE-318-333#0,0.7048081963396564
LINE-103-109,LINE-103-109,LINE-103-109,1.2048579215249204
LINE-212-223,LINE-225-214,LINE-225-214,0.2797113057622416
LINE-327-314,LINE-115-121#0,LINE-115-121#0,0
LINE-116-117,LINE-313-329,LINE-313-329,0
LINE-219-220,LINE-219-220#0,LINE-219-220#0,0.8099199228916227
LINE-113-123,LINE-120-126,LINE-120-126,0.044887196298982454
LINE-112-113,LINE-312-329,LINE-312-329,0
LINE-318-223,LINE-213-223,LINE-213-223,0
LINE-107-108,LINE-225-213,LINE-225-213,0.008240063788197836
LINE-115-116,LINE-220-223,LINE-220-223,-0.0010174303814838217
LINE-108-110,LINE-218-221,LINE-218-221,-0.0024024359368814887
LINE-225-214,LINE-216-219,LINE-216-219,-0.6477019400431798
LINE-220-223#0,LINE-215-221,LINE-215-221,-0.003979915841279264
LINE-120-126,LINE-318-333#0,LINE-318-333#0,0
LINE-126-217,LINE-120-126,LINE-120-126,-0.02702772601346985
LINE-330-318,LINE-108-109,LINE-108-109,0
LINE-226-209,LINE-228-203,LINE-228-203,-0.5636872238037427
LINE-215-221#0,LINE-119-120#0,LINE-119-120#0,0.0103314699620034
LINE-125-113,LINE-226-209,LINE-226-209,0.049760477675505406
LINE-315-316,LINE-115-121,LINE-115-121,0
LINE-112-123,LINE-108-109,LINE-108-109,-0.053531508773433045
LINE-315-333,LINE-215-221#0,LINE-215-221#0,0
LINE-316-330,LINE-125-113,LINE-125-113,0
LINE-115-116,LINE-216-219,LINE-216-219,-0.009315853014032899
LINE-218-221#0,LINE-112-123,LINE-112-123,-0.04754665372639957
LINE-329-325,LINE-319-320,LINE-319-320,0
LINE-115-116,LINE-117-118,LINE-117-118,-0.6825854955403025
LINE-128-203,LINE-218-221#0,LINE-218-221#0,0.005100982077217648
LINE-220-223#0,LINE-311-331,LINE-311-331,0
LINE-320-323#0,LINE-112-123,LINE-112-123,0
LINE-315-333#0,LINE-119-120,LINE-119-120,0
LINE-112-113,LINE-216-219,LINE-216-219,-0.023312775091095066
LINE-225-213,LINE-113-123,LINE-113-123,0.0009978366708016852
LINE-215-221#0,LINE-103-109,LINE-103-109,-0.014971808878338126
LINE-125-113,LINE-215-216,LINE-215-216,-0.045487154418047036
LINE-318-333#0,LINE-119-120#0,LINE-119-120#0,0
LINE-108-110,LINE-225-214,LINE-225-214,0.04625393814138923
LINE-315-316,LINE-313-329,LINE-313-329,0.09756371245771259
LINE-119-120#0,LINE-227-216,LINE-227-216,0.010967866508610249
LINE-216-219,LINE-212-223,LINE-212-223,0.4325135445500308
LINE-114-116,LINE-128-203,LINE-128-203,0.09017051585332644
LINE-215-221#0,LINE-116-117,LINE-116-117,-0.0014118240699596363
LINE-213-223,LINE-313-329,LINE-313-329,0
LINE-112-113,LINE-113-123,LINE-113-123,-0.37989227271068526
LINE-218-221,LINE-115-121,LINE-115-121,-0.0005229679935198869
LINE-120-126,LINE-220-223#0,LINE-220-223#0,-0.0012170835351432735
LINE-120-126#0,LINE-216-219,LINE-216-219,-0.011143928395992288
LINE-330-318,LINE-219-220,LINE-219-220,0
LINE-108-109,LINE-330-318,LINE-330-318,0
LINE-330-318,LINE-228-203,LINE-228-203,0
LINE-216-219,LINE-315-324,LINE-315-324,0
LINE-316-319,LINE-107-108,LINE-107-108,0
